n12917054,佛州通过新选举法 限制邮寄投票和投递箱
n12959364,美裁军大使：中共续扩大核武库 拒双边谈判
n12959087,【新闻看点】迎合中共 苹果监视审查中国人曝光
n12959564,一个教堂坚持上诉 替所有教会获得永久禁令
n12959492,布林肯：美国希望避免北极地区军事化
n12959440,美财政部对中共军企投资禁令再延后实行
n12960020,【疫情5.19】3国疫苗施打量占全球60%
n12960904,深圳大楼乱晃惊动美领馆 向美国人发警告
n12960678,【名家专栏】中共大外宣在美投6400万美元
n12960961,美中科技战 参院民主党提案强化芯片生产研发
n12961144,印度疫情惨 恒河飘大量浮尸 警方跨河拉网
n12961230,【直播】对话蓬佩奥：以巴冲突和美国角色
n12961065,UFO频光顾 前美军官：技术领先美1000年
n12960483,【拍案惊奇】习王储浮现？中共学者谈“生物战”
n12961336,以色列大使馆怼中共官媒：反犹的丑陋面目
n12961111,反制中共 美议员吁加强《无尽边疆法案》
n12961479,塞国接种率全球最高 染疫激增 中国疫苗惹祸？
n12961577,德州州长签法案 禁止对检测出心跳后胎儿堕胎
n12961551,【远见快评】中共二十大爆黑战 刘鹤率先中招
n12961580,【时事纵横】刘鹤中枪 中共20大前内斗三特征
n12961485,中共限制加密货币 美国会议员回应
n12961629,【秦鹏直播】以色列驻华使馆抗议 中共拒道歉
n12961498,【新闻看点】美舰穿台海战狼叫 铁穹发威台借用？
n12890820,【思想领袖】麦克法兰：中共欲改写国际规则
n12961645,《无尽前沿法案》修正案要NSF披露项目成本
n12961534,美太空部队导弹预警卫星升空 探测来袭导弹
n12962013,北极会议登场 美俄外长首次面对面会谈
n12962175,美众院批准成立委员会 调查国会大厦遇袭事件
n12961829,美参院“科技法案”范围扩大 舒默重新命名
n12962864,美驱逐舰穿过西沙海域 中共抗议遭美军打脸
n12963266,宾州选民投票赞同限制州长紧急令
n12963551,密苏里州成功递交诉状 就疫情诉多个中共机关
n12963793,拜登对海警队讲话 警告中俄 赞与台湾合作
n12963429,【微视频】澳洲铁矿石涨价 北京含泪也要买
n12963935,传拜登拟任命前国务院副卿担任驻以色列大使
n12963974,香格里拉安全对话会取消 中美防长面谈无望
n12963731,新泽西大幅放宽限制 但保留室内须戴口罩禁令
n12964058,美财政部：超一万美元加密货币交易需上报
n12964178,FBI中国调查探员：中共如何伤害美国家安全
n12964286,【时事纵横】美日韩欧盟连番重击 北京真麻烦了
n12964328,抗议下 亚凯迪亚市府暂缓推建游民住所项目
n12964199,拜登签署反亚裔仇恨犯罪法案
n12964346,加州41县检察官联署 吁勿提前释放7.6万囚犯
n12964275,【秦鹏直播】字节跳动CEO辞职 19岁男迪拜被抓
n12963789,【新闻看点】左晖病逝 张一鸣卸任引字节地震？
n12964295,【横河观点】中共CGTN反犹节目 惹恼以色列
n12964766,美议员吁加速援助各国 抗衡中俄疫苗外交
n12965074,台驻纽约代表：美国疫苗援助将稳定芯片产业
n12965251,美台卫生部长视讯会议 美承诺助台取得疫苗
n12965781,美韩峰会在即 或谈解除导弹限制及核电合作
n12965856,以巴达成停火协议 布林肯计划会两国领导人
n12965885,【新闻大家谈】美军被曝入台湾指导三军军演
n12965891,20大后习近平何去何从 国际专家析各种可能
n12966265,新泽西推立法 卫生紧急状态终止后州长仍保有特别权力
n12966063,【微视频】华日试探习接班人 抄底中共机会显现
n12966395,中共内部指示被曝光 强迫维族人骂蓬佩奥
n12966547,新泽西一大学要求 本科生至少选修两门种族主义相关课程
n12966566,受前总统川普启发参政 印裔工程师将竞选新泽西州长
n12966608,消费大增房市火热 新泽西州财政收入超预期
n12965959,【名家专栏】华为盘踞南营 中共间谍无处不在
n12966529,美议员致信库克 指苹果“近乎完全屈服”北京
n12966671,拜登白宫会晤文在寅 强调美韩联盟力量
n12966702,美防长要跟中共军委对话 许其亮躲避引猜疑
n12966789,“罢免贾斯康”运动正式开始征集签名
n12966775,【远见快评】中东休战 台曝重磅消息 北京紧张
n12964265,美司法部披露中共非传统间谍案 一文看懂
n12966948,逃离蓝州 俄勒冈9县想加入爱达荷
n12967001,宾州县选举 投票机“不认”共和党选票？
n12966816,【新闻看点】中共棒打百余款APP 藏两深层目的
n12967058,加州华人倍感忧心两大提案被彻底搁置
n12966980,指联邦刺激法案涉嫌歧视白人 佛州农民提告
n12967053,【秦鹏直播】美韩峰会高声护台 抗共态度日坚
n12967074,争取通过提案 拜登将基建规模降至1.7万亿
n12967270,纽约上东区民主党俱乐部撤销背书斯静格 转支持贾西亚
n12967262,纽约州总检察长宣布推出新法约束警察
n12968469,若中共侵台 美司令：战争恐扩大到印太地区外
n12968489,随文在寅访美 三星等韩企宣布对美投资394亿
n12968189,台湾疫情再起 美逾60议员促布林肯提供疫苗
n12968503,拜登1月上任以来 中美间无任何高层军事通话
n12967173,【拍案惊奇】北京谋台8方式？冯小刚预言再文革
n12967910,【唐浩视界】美中军事布战 UFO诡异介入？
n12968555,美制裁前610主任 敲山震虎 直指中共
n12968324,【财商天下】贸易与人权再挂钩 中共还能挺多久
n12968579,克鲁兹等提法案 对中共间谍及亲属拒发签证
n12968714,【新闻看点】滇青强震400余震 台湾疫情严峻
n12968780,【横河观点】以巴停火谁赢了 神秘组织吿川普
n12968787,【时事军事】中美对抗 中共无法建立杀伤链
n12968990,北京在拉美打疫苗牌 美国会机构听证评估影响
n12966899,雄鹰F-15EX配神秘特大号导弹 成空中狙击手
n12968691,美中科技战在东非开辟新阵线 美方胜出
n12969289,【疫情5.23】CDC关注年轻人接种后或患心肌炎
n12970006,【预告】专访程晓农：拜登对华政策5特点（8）
n12970303,美政府人员遭神秘“能量”攻击增 国会关注
n12970470,时代广场行凶者不悔过却获释 犹太社区谴责
n12970363,马斯克已成为比特币市场走势的最大影响者
n12970364,伊朗靠比特币年赚十亿 报告曝中资介入
n12970495,美参议员：中国人民很好 中共政府很卑鄙
n12970737,亚利桑那州审计工作继续前 再现风波
n12906918,【思想领袖】卡尔：华为入美军基地 FCC反制
n12971454,司法部指BLM支持者冲击国会售录像 扣9万元
n12971500,【疫情5.24】以色列预计6月1日国内解禁
n12972046,中共官场风声鹤唳 避免提到“那个人”
n12972206,【微视频】官媒称袁隆平“养活全世界”引争议
n12972548,美军方解密：为护台湾 曾计划核打击中共基地
n12972868,【直播】美智库：中共垮台不远？如何推动民主
n12972780,美情报界有未披露过的武汉病毒所报告 议员关注
n12972608,美逾百地方政府购买受制裁中企的监控系统
n12973045,【远见快评】袁隆平去世惹风暴 武毒所情报曝光
n12972953,前外交官：遏制中共 光制裁不够还得出重拳
n12973051,【时事纵横】甘肃夺命赛爆细节 中共捧袁藏意图
n12973061,【秦鹏直播】实验室泄漏新证据 神秘矿洞藏钥匙
n12973148,佛州州长签法案 州民可起诉社交平台
n12973037,【新闻看点】中共炮制台湾假信息 五毛无脑招笑
n12973314,洛县检察长称减刑可减少累犯 被指歪曲事实
n12973228,避种族纷争 美媒吁最高院审哈佛大学招生案
n12973501,爱荷华和阿拉巴马州通过法律 禁用疫苗护照
n12973731,美参议员保罗收到不明粉末包裹 FBI介入调查
n12974009,【疫情5.25】台湾三级警戒延至6月14日
n12974826,病毒起源疑云重重 美政府和专家吁独立调查
n12974820,拜登普京下月首次会晤 将谈哪些议题
n12974913,以色列总理：美国不应重新加入伊朗核协议
n12975341,美两党罕见一致联手 推进抗衡中共法案
n12975407,UFO如何从笑话变成美国国家安全担忧
n12975472,调查病毒起源 美国会情报委员会分头行动
n12975447,【时事纵横】甘肃惨案惊习李 美俄峰会冲中共？
n12975468,【秦鹏直播】新西兰与中共摊牌？美台爆军事合作
n12975420,民主党主政大城市犯罪激增 不再削减警察预算
n12975750,拟给“庇护城”拨款 参议员要司法部长公布备忘录
n12975635,美参院纳入一修正案 禁联邦资金用于中国研究
n12975504,白宫：拜登支持情报机构调查UFO现象
n12975815,橙县居民呼吁取消卫生紧急状态 停止疫苗护照
n12975458,【横河观点】中国特色极限运动 穷人用命换
n12975114,【新闻看点】辽宁诡异爆炸 美参议员遭死亡威胁
n12975534,美参议员提议案 堵中共设备流入“安全漏洞”
n12975882,美议员提全面抗共法案 拟两党合作加速通过
n12975991,谁的新闻？外媒聚焦News Break的中国关系
n12976512,【疫情5.26】美国1万多人打疫苗后染疫
n12977238,【微视频】“躺平” 是绝望 兔子蹬鹰尚需一搏
n12977410,被中共制裁 美宗教领袖：全球追责CCP
n12977516,美高官：正与台湾各级接触 相信疫情能控
n12977559,中共大外宣渗透美报纸杂志 半年砸逾450万
n12977734,拜登令情报界90天内出明确病毒起源报告
n12977774,传拜登准备提名华尔街高管担任驻以大使
n12977714,【预告】美智库：对抗中共在印太数字扩张
n12978089,【时事纵横】超级血月伴祸殃？美90天彻查疫源
n12978070,卢比奥呼吁华尔街停止“扶持”中共
n12926411,【思想领袖】阿特基森：严控信息大众恐慌
n12978366,消除数学教学中种族歧视？ 加州新框架挨批
n12978036,【新闻看点】李克强只两条路？俄不抗美北京慌
n12978223,如何在美中对抗中击败中共 霍利提建议
n12978243,百亿助贝佐斯登月计划入修正案 两议员反对
n12978507,美贸易代表首次与刘鹤通话 各自讲了啥
n12978527,美国大亨游说遣返郭文贵 传被要求登记代理人
n12978598,居民呼吁伯班克市政官员 尽快解决餐馆问题
n12978948,脸书称不再审查COVID-19是人造的帖子
n12979137,美参院通过法案 要求拜登解密病毒起源情报
n12979535,美印太主管：美中接触结束 进激烈竞争时代
n12979917,日欧领导人峰会 首次提到维护台海稳定
n12980127,新泽西解除口罩令 但学生秋季开学后仍须戴口罩
n12980082,美国调查病毒源头 中共战狼阴阳怪气
n12980370,香港修订选举法 美国务院批中共破坏民主
n12980265,美军最高将领：中共掩盖疫情 美需弄清真相
n12980451,报复制裁前美官员 布林肯谴责中共恐吓行为
n12980501,拜登：或发布病毒起源完整调查报告
n12980440,美中贸易代表首次通话 传刘鹤强调减免关税
n12980522,抵制北京奥运 美两党议员提法案禁美企赞助
n12980495,王友群：拜登下令查病毒源头 真相终将被揭开
n12980795,【时事纵横】风向大变 美解密疫源情报 战狼反扑
n12980576,【役情最前线】FB大逆转 不再审查中共病毒是人造
n12980833,【秦鹏直播】美宣告与中共接触结束 王靖渝获释
n12980778,美参院共和党就拜登基建计划提出反提案
n12980801,【新闻看点】美参议院四箭齐发 助推抗击中共
n12980915,美参院将拨款强化芯片研发 对抗中共挑战
n12980853,【横河观点】病毒溯源呼声起 排斥台湾将食苦果
n12981315,拜登国防预算加强核武现代化 以威慑中共
n12981172,美参院通过修正案 降低数百种中国商品关税
n12981273,中共干了这事 促拜登下令情报界调查病毒源头
n12982196,美两党议员再提案 疫情溯源并允许起诉中共
n12982484,餐馆老板、前市长竞选宾州州长
n12982401,专访阿富汗“黎明新闻”总监：谈美军撤阿
n12982755,特斯拉再受挫 中共机构禁员工买车
n12982734,李克强要降价 高盛：中共不主导大宗商品价格
n12982752,美卫生研究院资助武汉病毒所 议员展开调查
n12983031,美军高官：特种部队可教台湾抵御中共入侵
n12983104,倒戈票不够 1月6日调查委员会在美参院搁浅
n12983252,44名地区检察官提起诉讼 质疑加州释放7.6万囚犯
n12983265,拜登推六万亿预算 美债务逼近二战时纪录
n12983422,美国18团体联盟呼吁加州 拒绝批判性课程
n12983316,【远见快评】美病毒溯源5连击 中共高烈度摊牌？
n12983290,【新闻看点】美首批疫苗悄抵台 中共鬼影曝光
n12983579,佛州州长：民主党人也不满疫情关闭 搬到红州
n12983334,【秦鹏直播】中国科学家起义？论文打脸石正丽
n12983991,拜登国防预算投资未来战力 剑指中共
n12983886,第20选区纽约市议员参选人 6月1日线上论坛
n12983905,阵亡将士纪念日长周末 警方严打危险驾驶
n12983902,纽约市四水库开放“休闲划船” 持续到10月底
n12984299,美国重新制裁白俄罗斯 警告公民勿前往旅游
n12984533,【唐浩视界】美军舰被9飞碟包围 星际战不远？
n12985018,塞纳道歉风波 美警惕中共在好莱坞影响力
n12985165,【横河观点】福奇资助武毒所惹疑 石正丽谎言被揭
n12985261,209议员吁佩洛西查病毒起源 让中共担责
n12975757,参议员：新冷战袭来 美需阻中共暴政蔓延
n12985682,【疫情5.30】澳纽领导人疫情后首次会面
n12973336,若台海开战 美日“矛与盾”战略如何运作
n12986196,宾州众议院健康委通过限制堕胎法
n12986220,国会议员希斯：美国正经历一场精神战役
n12986576,你对美国FBI知道多少？
n12986514,阵亡将士纪念讲话 拜登向习近平普京发警告
n12986959,【役情最前线】美军最高将领：谨防大国战争
n12986876,长滩会议中心近600越境儿童被送走团聚
n12984870,若中共犯台 何种条件下日本自卫队可参战
n12986865,美议员：中共一次次瞒疫 应予以经济惩罚
n12987258,保证选举诚信 德州参议院通过选举改革法案
n12987506,长周末 洛县民众忙于征集签名罢免检察长
n12987875,【疫情5.31】日本拟要求奥运观众出示阴性证明
n12974899,【思想领袖】格林：与中共脱钩 助南部盟友
n12988896,【直播】阵亡将士纪念日 拜登阿灵顿发表讲话
n12988932,阵亡将士日 拜登：需记住牺牲、英勇和人性
n12989148,博明：中共瞒疫 让中国科学家噤声
n12988721,【微视频】三家P2P被查 喜投网反美骗粉曝光
n12988460,【名家专栏】中国的假朋友：俄罗斯
n12989421,三名锡角宅餐馆的和平抗议者周六被抓
n12989622,【时事纵横】急宣三孩政策 中共遭三大拷问
n12989008,【远见快评】习称2035拥有美国？推三孩网络翻车
n12989635,【秦鹏直播】中共“开放三胎”被网民骂翻了
n12989602,【新闻看点】英国印度病毒入广东 北京突现异常
n12989955,AB101提案众议院通过 州众议员基利：会摧毁社区
n12990685,披露News Break与中共凤凰卫视股权关系
n12990786,【疫情6.1】纽约阳性率创开始记录以来最低
n12990826,【有冇搞错】美国文革的阴谋正在推动中
n12991679,支持在美发动缅甸式政变？弗林将军明确否认
n12991757,美副国务卿访柬埔寨 对中共军事存在表担忧
n12991221,作家劳登：美国正进行社会主义革命
n12991886,为电子战做准备 美军MIA1坦克配抗干扰装置
n12991928,报告：美商务部制定敏感技术清单进展缓慢
n12992133,【役情最前线】无人机自主攻击 专家忧武器失控
n12992190,【时事纵横】习令大外宣升级 王毅为何服软？
n12992250,【横河观点】三孩vs躺平 这次谁会赢
n12992333,游民营毁掉南加第二大景点
n12992386,亚利桑那州审计加快 已计算超过100万选票
n12992186,【新闻看点】广州两高风险封38区 内部人爆大料
n12992346,拒新疆棉 美委员会吁NBA球星停代言中国品牌
n12992253,麦康奈尔：取消警察经费是最愚蠢的想法
n12992500,亚利桑那州长否决反批判性种族理论等22项提案
n12992557,能源中心主任：加入RGGI 宾州家庭能源账单或涨1150美元
n12992418,美财长和刘鹤首次视频通话 双方谈了啥
n12992741,布林肯：美两周内公布八千万剂疫苗分配细节
n12993230,【疫情6.2】欧洲七国提前发放疫苗护照
n12992493,【新闻大家谈】北京自认陷绝境？再提大外宣
n12994011,习近平要战狼扮可爱 专家：有无法跨越死结
n12992726,美版文革进行中 华裔老侨：阶级斗争翻版
n12994234,福西邮件解密 与中共疾控主任的来往惹关注
n12994253,保住习特使身份？刘鹤7天两次和美高官通话
n12994274,为何美两党议员促防长支持以色列铁穹系统
n12994171,美向全球发八千万剂疫苗 两周内公布详情
n12994357,大费城共和党人盖尔竞选宾州州长
n12994341,分析：人民币升值 为更多中美货币摩擦埋伏笔
n12994418,【重播】余茂春及前美外交官谈对抗中共扩张
n12994590,民主党候选人赢新墨西哥州国会席位特别选举
n12994585,【时事纵横】港澳悼六四成罪 福西电邮投震撼弹
n12994597,【远见快评】福西邮件爆雷 战狼外交“装羊”？
n12992768,【军事热点】巴示弱重提与美协议 或削减中共影响力
n12994576,【新闻看点】广州升级防控 中共威胁“核战”
n12937768,【思想领袖】巴特切利亚：疫情封锁的致命后果
n12994634,【秦鹏直播】数千邮件惊全美 福西涉嫌帮中共？
n12994370,传美拟修订涉军中企投资禁令 改财政部列名单
n12995111,专家：预算案显示国防不是拜登政府优先事项
n12994467,【探索时分】中美若爆发核战 什么后果？
n12996059,【唐浩视界】煽动台湾疫苗之乱 北京藏三大图谋
n12996471,“17年蝉”登上大众食谱 FDA发警告
n12996782,余茂春谈六四：中国人最无恐惧的七个星期
n12996766,关注火星后 NASA开始盯上最亮那颗星
n12996977,拜登下令禁投资59家中共国防和科技公司
n12996754,美首批全球疫苗分发计划 700万剂送往亚洲
n12997119,美最新制裁59涉军工及监控技术中企名单一览
n12997115,新泽西屋主因挂骂拜登旗帜受警告 律师称不违法
n12997262,【时事纵横】六四时中国人最无惧 美囤导弹抗共
n12997322,国会大厦事件怎能与911恐怖袭击相比
n12997331,【秦鹏直播】六四珍贵镜头曝光 七千港警防什么
n12997456,六四32周年 美国务院：支持中国人追求人权
n12997475,加州新提案：商业区建住房 独立屋区盖多户宅
n12997243,【新闻看点】广州用方舱 蓬佩奥：中共欠世界答案
n12997346,【横河观点】福西大批电邮曝光 左媒为何转向？
n12997744,蓬佩奥：调查武汉病毒所遭内部激烈反对
n12997828,为通过基建计划 拜登提议最低企业税降至15%
n12998555,前CDC主任提病毒泄漏后 收到大量死亡威胁
n12999311,【新闻大家谈】福奇邮件门 六四密使外交重现？
n12999041,福西促中共公布武汉病毒所人员医疗记录
n12999359,胡锡进为天安门大屠杀辩护 遭讽精神失常
n12999599,美英加德驻华驻港使领馆发图文悼“六四”
n12999534,港人悼六四遭截查 美领馆窗口点满烛光
n12999213,塞纳道歉是扭转好莱坞向中共叩头的契机
n12999964,纪念六四 美国会委员会：天安门精神仍在
n12999948,分析：拜登投资禁令撤掉了哪些曾上榜的中企
n12999736,【远见快评】为何勿忘六四？日本醒悟痛击中共
n13000196,游民资金花在哪里？别被政客利用了同情心
n13000118,曼钦：仍不支持民主党单独通过基础设施法案
n13000140,【秦鹏直播】谁是石的外国帮凶 蓬佩奥打开蠕虫罐
n13000101,【新闻看点】广州疫控升级封城近 蓬佩奥遇内敌？
n12997711,新泽西州长墨菲将竞选连任 4共和党人挑战
n13000567,共和党纽约市长参选人辩论 聚焦犯罪、教育
n13000599,王能：若左派团体要我表态撤资警务  我也一定说不
n13000540,第二个女性站出来指控斯静格行为不端
n13000581,随机攻击事件频发 寇顿抨击保释金改革
n13001207,G7财长就全球税务改革达成历史性协议
n13000497,【拍案惊奇】7常委6‧4经历 疫源证人藏美情报局？
n13001330,美参院军事和外交委员会议员将访问台湾
n13001459,NASA局长：严肃对待UFO现象 不排除外星人
n13000275,福奇电邮：去年1月注意到病毒或从实验室泄漏
n13001563,美海军斥巨资升级基础设施 以推进潜艇计划
n13001801,戴琪：美中贸易关系严重失衡 美国致力于拉平
n13001898,美中在拉美冷战 布林肯强调美疫苗无附加条件
n13001916,法官：加州禁攻击性武器违反宪法第二修正案
n13001990,【新闻看点】广州全城检测 7市5600医护驰援
n13002103,美资助武汉病毒研究所总额 福西作证不符
n13002106,美三参议员抵台 宣布赠台湾75万剂疫苗
n13002317,布什家族基金会收中共代理人500万美元
n12994637,刺客变勇士 美升级收割者无人机对抗中共
n13002876,美参议员批评福西 家人收到五次死亡威胁
n13002610,【疫情6.6】蔡英文接见美议员 感谢相赠疫苗
n13000366,美议员：中共瞄准美五大领域 美国必须反击
n13003176,两无人机现踪伊拉克美军基地上空 遭击落
n13003417,【预告】专访程晓农：武汉病毒所的军管事件
n13003406,川普炮轰中共 要加100％关税 求偿10万亿
n13003626,资深民主党参议员：将投票反对选举改革法案
n13003749,在保护美国自由集会上 居民签名给川普送生日卡
n12996717,【思想领袖】诺曼尼：亚裔美国梦正迷失？
n13003975,【役情最前线】史上最高级别中共官员出逃美国
n13003993,加州州长不会解除疫情“紧急状态”
n13004043,拜登访欧前发文 强调团结盟友应对威胁
n13004486,布林肯：誓让中共对COVID-19起源担责
n13004599,【疫情6.7】台湾三级警戒延至6月28日
n13004996,白宫追查病毒起源 或证中共叛逃者资讯属实
n13004998,【新闻大家谈】美王牌军机抵台 挑战中共底线
n13005418,首次外访飞机因故障折返 贺锦丽：我们在祈祷
n13005446,美前防长谈霸王军机访台：让蔡英文放心
n13005244,【微视频】安徽再爆砍人事件 恶性案为何频发？
n13004048,【拍案惊奇】广州传三千确诊 战狼面临被祭旗？
n13005665,中共专家被曝疫情初期做出疫苗 后神秘死亡
n13005661,前国务卿：美最大对手是中共 但可以应对
n13005768,联邦法官推翻加州对攻击性武器的禁令
n13005764,美高院：持临时保护身份非法入境者不得拿绿卡
n13005778,美台或重启贸易投资谈判？布林肯释信号
n13005739,美最大输油管遭骇一个月后 司法部追回多半赎金
n13005922,【远见快评】美军机入台 “秘密战”打懵中共
n13005980,【时事纵横】国药报告爆作弊 美压红线战狼吞声
n13006065,【重播】布林肯国会作证：病毒溯源追责中共
n13005920,国会议员追问中共病毒起源 布林肯谨慎作答
n13006146,美权威报告：病毒从武汉实验室泄漏论可信
n13006316,史密斯议员：解决中共问题须将贸易与人权挂钩
n13005933,【新闻看点】疫苗专利泄密？中共科学家神秘亡
n13006334,分析：拜登可能加更多中企入投资黑名单
n13006462,贺锦丽访危地马拉 吁勿跨越边境 美在执法
n13005772,【探索时分】盘点美军特种部队 哪个来台湾？
n13007207,【疫情6.8】英美航空界吁放开两国通航
n13007667,美澳高科技卧底行动奏效 全球逾八百嫌犯落网
n13007965,追击中共 拜登将成立供应链贸易突击工作组
n13007924,美参院将通过史上最全面科技法案 对抗中共
n13008128,蓬佩奥：中共处理疫情渎职 拜登须予以惩罚
n13008027,美参院报告揭冲击国会事件：情报部门失职
n13007758,【唐浩视界】中共逼统撞铁板 病毒溯源六大疑点
n13008335,美国会促苹果公司确保供应不含中共强迫劳动
n13008628,前美官员：制裁欧盟 中共犯巨大战略错误
n13008581,【时事纵横】国产疫苗泄底 江浙爆学潮官方让步
n13008680,共和党与白宫就基建法案的谈判遇障碍
n13008611,【秦鹏直播】美机密报告曝光 蓬佩奥吁追责中共
n13008558,【新闻看点】惠州异动珠三角沦陷 美绝密件曝光
n13008668,【横河观点】美政科界内部角力 揭病毒溯源之争
n13009004,宾州州府拥枪权集会：维护宪法第二修正案
n13008950,美国通过史上最大额科技法案 五大看点
n13009046,德州通过决议谴责中共活摘器官 促国会制裁
n13009510,美吁盟友共同协助太平洋岛国 对抗中共渗透
n13009767,史上首次！ 美国海军以无人机进行空中加油
n13009873,【疫情6.9】韩国宣布旅游泡泡 台湾列优先名单
n13008851,【新闻大家谈】巨无霸抗共法案 脱钩不可挡
n13010507,拜登启程展开八天欧洲行 中俄议题是焦点
n13010409,【微视频】学生不“躺平”反抗合并 取得胜利
n13010388,拜登首次国外行 记者团专机被17年蝉叫停
n13010479,战狼外交转向？ 分析：塑可爱形象 重在实质
n13010433,美记者析中共战狼：源于恐惧和个人野心
n13010530,拜登一通电话停止与共和党人基础设施谈判
n13010809,美俄首脑会晤在即 中共竭力拉拢俄罗斯
n13010792,拜登取消川普微信TikTok禁令 启动新审查
n13010878,美防长发布内部指令 启动多项工作抗共
n13010985,【直播】访欧首站 拜登在美军驻英基地讲话
n13011052,加州人需要什么样检察长? 律师厄雷宣布参选
n13011209,【远见快评】江浙爆学潮 美超星战计划五大意义
n13011251,【时事纵横】美抗共法案中共叫嚣 王沪宁失势？ 
n13011265,【秦鹏直播】牛津研究推翻世卫病毒溯源报告
n13010870,【军事热点】中共扰台骤减 迫于压力粉饰太平
n12940574,【思想领袖】洛特：枪支管制减少犯罪是误区
n13011232,【新闻看点】五十京官传坐镇广州 居民喊没饭吃
n13011675,TC能源公司正式放弃美加输油管道项目
n13012297,拜登上任以来 美中商务部长首次通话
n13011009,【探索时分】2022国防预算 美军都要买啥?
n13013351,G7峰会 英美签新大西洋宪章 奠定新秩序
n13012450,【拍案惊奇】习在毛邓间走钢丝？天安门地区封闭
n13013301,恰塔瑞利赢共和党竞选州长提名 将挑战墨菲
n13013738,【重播】博明参院作证：美中竞争及病毒起源
n13013493,拜登欧洲之行 有哪些日程
n13013763,中共急推反制裁法 专家解读 外企商会回应
n13013909,【时事纵横】中共铁拳揍不醒粉红？美防长密令
n13013760,法官推翻加州攻击性武器禁令 总检长提上诉
n13013956,【秦鹏直播】习对拜登失望？美持续联盟友抗共
n13013976,【横河观点】美军机降台湾 中共暴露致命弱点
n13014204,受疫情打击 洛餐馆老板转关社区
n13013890,【新闻看点】广州零号病人成谜 学生维权变暴动
n13014477,提新基建法案 美两党参议员小组达成协议
n13014597,橙县监事会 民众发言30秒是否太短？
n13014618,美防长：印太局势紧张 中美间缺乏红色电话
n13014534,美议员批美企无视中共奴工 令消费者成帮凶
n13015358,华裔母亲警醒美版“文革” 引发热议
n13015780,【时事军事】从C-17访台想到“胖妞”Y-20
n13015917,国安法实施一年 美总领事批香港恐怖气氛
n13016055,布林肯杨洁篪通话 美中声明各说各话
n13015946,美前驻华大使：美中关系恶化 中共不敢攻台
n13016162,担心敏感技术被盗 传美促阿联酋放弃华为
n13013846,疫情平稳 新泽西宣布结束公共卫生紧急状态
n13013712,接种疫苗者感染率不到 1% 研究人员称疫苗有效
n13015992,【重播】美国会2022国防情报工作情势听证会
n13016274,病毒起源第二阶段调查 美中再交锋
n13016362,七国峰会周五开场 中国问题是最紧迫议题
n13016464,【远见快评】反外国制裁法 北京挥“七伤拳”？
n13016232,美防长：美中缺红色电话 小事件或引发危机
n13016585,提前罢免时间 民主党改变游戏规则惹众怒
n13016438,美国会提两党反垄断法案 或重塑科技巨头
n13016490,【秦鹏直播】《无间道》恐成绝唱 疫苗大战打响
n13016638,美将领警告：中共以严重且持续速度扩张军力
n13016240,【新闻看点】广州传下死令 G7欧盟溯源火烤世卫
n13016874,美司法部长：将保障公民投票权 关切选举审计
n13016650,白宫发布新规 减少“购买美国货”豁免
n13017041,百位精英学者联署 质疑批判性种族研究课程
n13017001,今日开始市长选举提前投票 各民权组织呼吁选民参与
n13016988,2021初选提前投票开跑  PLACE NYC背书杨安泽
n13016978,曼哈顿民事法庭法官候选人鲁戈访中华公所
n13016972,纽约州议会通过拨款 支持对库默弹劾调查
n13016969,纽约市监督机构选贾西亚为市长第一人选
n13017229,美俄峰会前 美军对乌克兰军事援助1.5亿美元
n13017649,G7峰会 拜登将促盟国对抗中共再教育营
n13017810,G7峰会讨论基础设施计划 抗衡一带一路
n13018084,白宫：与普京会面后 拜登将单独举行新闻会
n13018252,拜登对华政策已现雏形 大致延续川普强硬路线
n13018350,【横河观点】华裔妈妈比较中美文革 语惊四座
n13018231,美官员：G7就中共倾销和人权侵犯达共识
n13018328,【新闻看点】逾6成病患延误治疗 广州瞒疫情？
n13018033,【时事军事】美国核潜艇 悄悄主宰海洋67年
n13018437,共和党将反社会主义作2022中期选举宣传重点
n13019005,【疫情6.13】谭德塞：不排除实验室泄毒
n13019256,【直播】G7峰会结束 拜登召开记者会
n13003729,剥去伪装 美报告揭中共军民融合实体内幕
n13019389,G7公报出炉 就多个敏感议题挑战中共
n13019695,G7公报：清除全球供应链中的强迫劳动
n13019759,G7向中共公开立场 关注港台 促病毒起源调查
n13019732,七国集团采取行动对抗中共 拜登：我很满意
n13020048,蓝州人向往红州 规划路线“逃离”加州 　
n12972863,【思想领袖】香港铁娘子刘慧卿：游戏未结束
n13020216,白宫：北约将修订战略概念 以应对中共威胁
n13021195,广东台山核电站被曝或泄漏 美法政府磋商
n13021423,北约峰会开幕 首次在公报中剑指中共
n13021603,【直播】北约峰会结束 拜登举行新闻发布会
n13021758,扩大防御 北约公告首指中共构成系统性挑战
n13021798,蓬佩奥：中共仍在掩盖真相 是追责的时候了
n13021868,橙县居民庆祝国旗日和川普生日
n13021281,【名家专栏】美国不需要共产主义特洛伊木马
n13021355,【微视频】美国通膨创新高 主流媒体都抗议
n13022094,【远见快评】G7三大重锤反共 统一战线成型
n13022171,【时事纵横】北约十提中共 武毒所秘密视频流出
n13022149,【新闻看点】广州外松内紧？国际慎防 北京孤立
n13022376,中共倒楣的一周 国际上遭谴责国内事故频发
